,detected_matches,valid_matches,inlier_rate,detection_time,EulerZ_error,EulerY_error,EulerX_error,t1_error,t2_error,t3_error
0,1000,907,0.907,1.219998995999049,0.08895833551070478,-0.013502755371309152,0.05000597905220048,0.00032215424780877557,-0.0011756328048206073,-0.0008659436016292159
1,1000,973,0.973,0.5918402190000052,0.08989005443823872,-0.027739190155659205,0.06338357379228175,0.00031715424780896486,-0.0011926328048209851,-0.0008609436016291832
2,1000,943,0.943,2.079837803999908,0.09091760391958259,-0.019315673547299045,0.052876874958298146,0.0003351542478097045,-0.0011666328048211257,-0.0008669436016292447
3,1000,967,0.967,0.7800713490014459,-0.05044805174868051,-0.023115120811537944,-0.03310633800244638,-0.0014794510121516667,0.0001284105878746994,0.00042826330834480955
4,1000,959,0.959,0.6786681310004496,-0.046075202720030045,-0.03648272148041349,-0.024431212960870977,-0.0014714510121505485,0.00011941058787499571,0.00043026330834475604
5,1000,981,0.981,0.623128524999629,-0.0450842413027028,-0.033969626227571256,-0.01178294506769991,-0.0014644510121504582,8.641058787526802e-05,0.0004272633083447808
6,1000,971,0.971,0.6668835090003995,-0.04847042190765509,-0.02759015670784814,-0.00309005230567661,-0.0014914510121506795,8.341058787484868e-05,0.0004232633083446658
7,1000,977,0.977,0.9037070169997605,-0.03495068672127462,-0.029971441402630937,0.0018071129633230633,-0.0015324510121510814,0.00010641058787473291,0.00040026330834467053
8,1000,965,0.965,0.7125123949990666,-0.2741083000623251,0.12345759966645928,-0.026560132057326512,-0.0006431929247399832,0.003210237181297114,0.002886812961735176
9,1000,976,0.976,0.6721769699997822,-0.2606900054326568,0.11859285381611065,-0.05258583566047844,-0.0006631929247410024,0.0032522371812974335,0.0028938129617351554
10,1000,968,0.968,0.748691647000669,-0.05897044446266483,0.002363824555905705,0.07490070588658805,-0.0013422551109142436,0.0008333546472698796,0.0052330801497660895
11,1000,660,0.66,0.7990649989988015,0.15246457300045008,-0.2198915206620308,-0.7959364234672563,-0.016996032300371527,0.04288876089310196,0.007036689586049134
12,1000,839,0.839,0.6729771469999832,0.3856329938995288,-0.13331666664978217,-0.6159191623638384,-0.020933235252669713,0.017920180383431912,-0.0036935892805507386
13,1000,422,0.422,0.7728254869998636,1.0794562533702332,-0.4411748320091706,-2.7879940744969733,-0.03675781767328551,0.14907116076476765,0.017625040840781148
14,1000,305,0.305,0.983079130999613,0.32861984435965197,-0.0600569223309491,-1.2634182534424252,-0.014506927059873612,0.10235065015001449,0.02093331037768452
15,1000,464,0.464,0.7339869769984944,0.2589953966554267,0.2648256834562193,2.285975974638386,0.0061936458289100355,-0.02993257351249918,-0.009252555977981358
16,1000,782,0.782,1.2152748080006859,0.3116541262990699,-0.17487332978936987,0.08129055596043079,-0.009539873404321665,-0.01922095328060802,-0.003368838157561254
17,1000,327,0.327,0.9353300030015816,0.43744062023740127,-0.37332918532734416,-2.179374893354387,-0.004269802429070785,-0.025512561096357453,-0.0376716549561782
18,1000,389,0.389,0.706336346000171,0.3302559215857137,-0.39279777915342373,1.153987707280803,-0.013148530660742324,-0.11253783214679403,-0.019709698446253764
19,1000,357,0.357,0.6756971159993554,0.08066878515955563,-0.23974965142765836,-2.73191949987446,-0.013884624725620267,0.15942763238355584,0.041768521477762055
20,1000,354,0.354,0.7840472269999736,-0.03794501215502558,0.0870453210594532,0.7731306080282035,-0.008447059349272878,0.031307658400191334,-0.005585133105365952
21,1000,592,0.592,0.8165939010013972,0.5962920041901472,-0.41254063201913255,0.25282376123782696,-0.013166204873289804,0.01932187049747132,-0.00335884442575982
22,1000,559,0.559,0.7033952809997572,-0.06579096985322086,-0.20927685186045303,-0.29764190959364506,-0.007672585755436121,-0.023695984626623038,0.001709052356257746
23,1000,323,0.323,0.9453266830005305,0.3055139569681671,-0.07440635768819491,-2.2899985757577,0.004925725128398154,0.028187879045189285,0.04166864832303825
24,1000,590,0.59,0.743426887998794,0.25626464426584794,-0.25084419632285576,0.6440670009004897,-0.0032820997637940355,-0.07322671251950516,-0.007801812911236363
25,1000,222,0.222,0.7109949189998588,0.5120216470796722,-1.203702750156934,-4.536230564003107,-0.024050770742988625,0.22568637531759064,0.0629067453506731
26,1000,417,0.417,0.7684150830009457,0.621224188951835,0.4556147384417795,1.9087361396604947,0.007994459913382412,-0.01918521191710782,-0.03141941632842056
27,1000,769,0.769,0.8235319649993471,0.031875644883931444,0.028172226622634265,0.11494063557834337,0.004009626377057995,0.007683733312857455,0.0007231027645824385
28,1000,470,0.47,0.7454915550006262,-0.23792312710503222,-0.08929755838610673,-0.44940353527292914,-0.004330795251717493,-0.03868832749600074,0.0016697325876357115
29,1000,258,0.258,0.7549745340002119,0.18156082929823425,-0.5497891644984628,-3.1449024672145285,0.006611250245798212,-0.12130834814822625,-0.11883616100793767
30,1000,418,0.418,0.8812381389998336,0.5165879483796615,-0.16595781547743493,0.8780854916666119,-0.016667145427509626,0.09870775564980921,0.08433873453962734
31,1000,321,0.321,0.8643998739989911,0.6990612451787157,0.40996583437395623,2.6963627496267155,-0.013195400226765464,0.014179987924951142,0.03684730630138324
32,1000,764,0.764,0.8064766930001497,0.44742988112484844,-0.09818244511647108,0.199759912832757,-0.008567779626541209,0.024103257440843504,-0.00046520803718119437
33,1000,577,0.577,0.8014297609988716,0.2591318269020131,-0.11770624144550414,-0.6315164531452802,-0.011513731733585754,-0.019358639609363733,0.007969613897164527
34,1000,288,0.288,0.833396524998534,1.800948943069447,-1.021466993233471,-2.226024893539808,-0.021864662617184876,-0.09367703157746739,-0.08281645930302026
