,detected_matches,valid_matches,inlier_rate,detection_time,EulerZ_error,EulerY_error,EulerX_error,t1_error,t2_error,t3_error,,"Euler in ZYX, unit in degree"
0,1000,907,0.907,2.17296550799983,0.088958335507652,-0.013502755369732,0.050005979049656,0.000322154247776,-0.001175632804704,-0.00086594360154,,t unit in m
1,1000,973,0.973,0.554011222000554,0.089890054435185,-0.027739190154082,0.063383573789737,0.000317154247776,-0.001192632804704,-0.00086094360154,,
2,1000,943,0.943,0.718707846001053,0.09091760391658,-0.019315673545722,0.052876874955754,0.000335154247777,-0.001166632804704,-0.00086694360154,,
3,1000,967,0.967,0.77029063900045,-0.050448051748731,-0.023115120811538,-0.033106338002497,-0.001479451012152,0.000128410587876,0.000428263308345,,
4,1000,959,0.959,0.700286234001396,-0.046075202720081,-0.036482721480464,-0.024431212960922,-0.001471451012151,0.000119410587875,0.000430263308345,,
5,1000,981,0.981,0.63595361499938,-0.045084241302754,-0.033969626227597,-0.0117829450677,-0.00146445101215,8.64105878755487E-05,0.000427263308345,,
6,1000,971,0.971,0.867157378999764,-0.048470421907706,-0.027590156707848,-0.003090052305677,-0.001491451012151,8.34105878755735E-05,0.000423263308345,,
7,1000,977,0.977,0.685516572999404,-0.034950686721326,-0.029971441402631,0.001807112963298,-0.001532451012151,0.000106410587876,0.000400263308345,,
8,1000,965,0.965,0.673309289999452,-0.274108300062325,0.123457599666459,-0.026560132057276,-0.000643192924742,0.003210237181297,0.002886812961735,,
9,1000,976,0.976,0.726877139999488,-0.260690005432657,0.118592853816111,-0.052585835660428,-0.000663192924741,0.003252237181297,0.002893812961735,,
10,1000,968,0.968,0.70773053999983,-0.058970444463225,0.00236382455616,0.07490070588669,-0.001342255110895,0.000833354647271,0.00523308014977,,
11,1000,660,0.66,0.727333123999415,0.152464571617138,-0.21989151970532,-0.795936423964746,-0.016996032260584,0.042888760901744,0.007036689611206,,
12,1000,839,0.839,0.720151908000844,0.385632993899529,-0.133316666649782,-0.615919162363838,-0.02093323525267,0.017920180383432,-0.003693589280551,,
13,1000,422,0.422,0.793580125000517,1.07945625337023,-0.441174832009171,-2.78799407449697,-0.036757817673286,0.149071160764768,0.017625040840781,,
14,1000,305,0.305,0.699138627998764,0.328619845611366,-0.060056921557006,-1.26341824307606,-0.014506927053686,0.102350650027507,0.020933310400278,,
15,1000,464,0.464,0.751287569000851,0.258995396655376,0.264825683456219,2.28597597463839,0.00619364582891,-0.029932573512499,-0.009252555977981,,
16,1000,782,0.782,0.782511154999156,0.311654126386904,-0.174873330462324,0.081290557496741,-0.009539873419193,-0.019220953313042,-0.003368838162911,,
17,1000,327,0.327,0.798114103001353,0.437440632359029,-0.373329187940895,-2.17937489665153,-0.004269802625014,-0.025512561041545,-0.037671655277513,,
18,1000,389,0.389,0.712134613999297,0.330255892786783,-0.392797764231432,1.15398775153466,-0.013148530087664,-0.112537832610419,-0.019709698577824,,
19,1000,357,0.357,0.833576447999803,0.080668809312077,-0.239749681895998,-2.73191962494792,-0.013884625296746,0.15942763359383,0.041768521251033,,
20,1000,354,0.354,0.728487414999108,-0.037945012155026,0.087045321059428,0.773130608028178,-0.008447059349274,0.031307658400191,-0.005585133105367,,
21,1000,592,0.592,0.848374019999028,0.596292004190147,-0.412540632019133,0.252823761237827,-0.01316620487329,0.019321870497471,-0.00335884442576,,
22,1000,559,0.559,0.748475324000538,-0.065790969853221,-0.209276851860478,-0.297641909593645,-0.007672585755436,-0.023695984626623,0.001709052356258,,
23,1000,323,0.323,0.888280110999403,0.305513956968116,-0.07440635768817,-2.2899985757577,0.004925725128398,0.028187879045191,0.04166864832304,,
24,1000,590,0.59,0.698517181999705,0.256264644265899,-0.250844196322881,0.64406700090049,-0.003282099763796,-0.073226712519505,-0.007801812911236,,
25,1000,222,0.222,0.906968277000487,0.512021647996792,-1.20370275424759,-4.53623059930233,-0.024050770793266,0.225686375728068,0.062906745218735,,
26,1000,417,0.417,0.905519038000421,0.62122423171793,0.455614733843944,1.90873613806388,0.007994460687747,-0.019185211396263,-0.031419416748181,,
27,1000,769,0.769,0.719056691999867,0.031875644715591,0.028172226671666,0.114940635481502,0.00400962637386,0.007683733308863,0.000723102762036,,
28,1000,470,0.47,0.853259542998785,-0.237923127105032,-0.089297558386107,-0.449403535272929,-0.004330795251718,-0.038688327496001,0.001669732587636,,
29,1000,258,0.258,0.757428298999002,0.181560829298082,-0.549789164498361,-3.14490246721453,0.006611250245801,-0.121308348148226,-0.118836161007937,,
30,1000,418,0.418,0.837638389000858,0.516587948379661,-0.165957815477435,0.878085491666612,-0.01666714542751,0.098707755649809,0.084338734539627,,
31,1000,321,0.321,0.699274624999816,0.69906121978761,0.409965835450968,2.69636275077749,-0.013195399956472,0.014179988541888,0.036847305786733,,
32,1000,764,0.764,0.746403089999149,0.447429881124899,-0.098182445116497,0.199759912832757,-0.008567779626542,0.024103257440843,-0.000465208037182,,
33,1000,577,0.577,1.3502417740001,0.259131830684227,-0.117706235395529,-0.631516491981125,-0.011513732455622,-0.019358639310495,0.007969615354793,,
34,1000,288,0.288,0.708396821999486,1.80094894306945,-1.02146699323347,-2.22602489353981,-0.021864662617185,-0.093677031577467,-0.08281645930302,,
35,1000,450,0.45,0.895244825000191,0.299839565702189,-0.391542151345516,-1.26257159120877,-0.000811321936191,-0.109516576331381,-0.092817022000873,,
36,1000,763,0.763,0.789374762998705,0.643793914542262,-0.521488178243042,0.105694290839171,0.001202104565279,0.031098211175619,0.020147230171595,,
